CURSO_ACADEMICO;TIPO_ESTUDIO;ESTUDIO;LOCALIDAD;CENTRO;ASIGNATURA;TIPO_ASIGNATURA;CLASE_ASIGNATURA;TASA_EXITO;TASA_RENDIMIENTO;TASA_EVALUACION;ALUMNOS_EVALUADOS;ALUMNOS_SUPERADOS;ALUMNOS_PRESENTADOS;MEDIA_CONVOCATORIAS_CONSUMIDAS;FECHA_ACTUALIZACION
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Bases celulares y moleculares de la fisiopatología humana;Normal;Formación básica;77.08;75.51;97.96;49;37;48;1.21;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Bases celulares y moleculares de la fisiopatología humana;Normal;Formación básica;100.00;96.97;96.97;33;32;32;1.28;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Metodología de investigación en ciencias de la salud. Sistemas de información y nuevas tecnologías;Normal;Formación básica;91.19;87.88;96.36;165;145;159;1.23;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Metodología de investigación en ciencias de la salud. Sistemas de información y nuevas tecnologías;Normal;Formación básica;100.00;96.08;96.08;51;49;49;1.10;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Metodología de investigación en ciencias de la salud. Sistemas de información y nuevas tecnologías;Normal;Formación básica;90.32;84.85;93.94;33;28;31;1.17;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Bases fisiológicas de la nutrición y de los fármacos;Normal;Formación básica;96.60;90.45;93.63;157;142;147;1.35;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Bases fisiológicas de la nutrición y de los fármacos;Normal;Formación básica;88.46;83.64;94.55;55;46;52;1.22;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Bases fisiológicas de la nutrición y de los fármacos;Normal;Formación básica;96.97;94.12;97.06;34;32;33;1.12;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Ética y legislación sanitaria;Normal;Formación básica;99.27;99.27;100.00;137;136;137;1.03;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Ética y legislación sanitaria;Normal;Formación básica;100.00;100.00;100.00;52;52;52;1.07;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Ética y legislación sanitaria;Normal;Formación básica;100.00;100.00;100.00;32;32;32;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Enfermería geriátrica;Normal;Obligatoria;99.35;97.44;98.08;156;152;153;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería geriátrica;Normal;Obligatoria;100.00;98.21;98.21;56;55;55;1.02;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Enfermería geriátrica;Normal;Obligatoria;100.00;100.00;100.00;35;35;35;1.14;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Enfermería comunitaria I;Normal;Obligatoria;97.10;93.06;95.83;144;134;138;1.13;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería comunitaria I;Normal;Obligatoria;98.11;96.30;98.15;54;52;53;1.11;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Enfermería comunitaria I;Normal;Obligatoria;100.00;97.14;97.14;35;34;34;1.06;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Enfermería clínica I;Normal;Obligatoria;95.71;92.41;96.55;145;134;140;1.04;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería clínica I;Normal;Obligatoria;98.11;96.30;98.15;54;52;53;1.07;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Enfermería clínica I;Normal;Obligatoria;100.00;97.14;97.14;35;34;34;1.18;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Enfermería clínica II;Normal;Obligatoria;97.96;92.90;94.84;155;144;147;1.02;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería clínica II;Normal;Obligatoria;96.30;92.86;96.43;56;52;54;1.09;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Enfermería clínica II;Normal;Obligatoria;100.00;97.14;97.14;35;34;34;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Estancias clínicas I;Prácticas externas;Prácticas externas;100.00;98.59;98.59;142;140;140;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Estancias clínicas I;Prácticas externas;Prácticas externas;100.00;100.00;100.00;52;52;52;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Estancias clínicas I;Prácticas externas;Prácticas externas;100.00;100.00;100.00;33;33;33;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Enfermería materno-infantil;Normal;Obligatoria;96.55;95.89;99.32;146;140;145;1.01;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería materno-infantil;Normal;Obligatoria;100.00;97.92;97.92;50;49;49;1.14;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Enfermería materno-infantil;Normal;Obligatoria;94.29;94.29;100.00;35;33;35;1.03;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Farmacoterapia y dietoterapia;Normal;Obligatoria;91.50;86.96;95.03;161;140;153;1.06;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Farmacoterapia y dietoterapia;Normal;Obligatoria;98.00;96.08;98.04;51;49;50;1.37;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Farmacoterapia y dietoterapia;Normal;Obligatoria;90.63;90.63;100.00;32;29;32;1.17;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Ciencias psicosociales aplicadas y enfermería de salud mental;Normal;Obligatoria;100.00;100.00;100.00;140;140;140;1.01;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Ciencias psicosociales aplicadas y enfermería de salud mental;Normal;Obligatoria;100.00;97.92;97.92;50;49;49;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Ciencias psicosociales aplicadas y enfermería de salud mental;Normal;Obligatoria;96.88;93.94;96.97;33;31;32;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Enfermería clínica III;Normal;Obligatoria;97.37;94.87;97.44;156;148;152;1.05;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería clínica III;Normal;Obligatoria;98.00;96.08;98.04;53;51;52;1.06;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Enfermería clínica III;Normal;Obligatoria;93.75;90.91;96.97;34;31;33;1.10;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Prácticum;Prácticas externas;Prácticas externas;100.00;99.37;99.37;158;157;157;1.01;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Prácticum;Prácticas externas;Prácticas externas;97.96;97.96;100.00;49;48;49;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Prácticum;Prácticas externas;Prácticas externas;100.00;100.00;100.00;29;29;29;1.00;04/09/2022
2020;Movilidad de entrada;Movilidad para 1º y 2º ciclo y grado;Zaragoza;Facultad de Ciencias de la Salud;Prácticum;Prácticas externas;Optativa;;;;1;1;1;1.00;04/09/2022
2020;Movilidad de entrada;Movilidad para 1º y 2º ciclo y grado;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Prácticum;Prácticas externas;Optativa;;;;1;1;1;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Enfermería clínica IV;Normal;Obligatoria;99.39;98.19;98.80;166;163;164;1.32;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Enfermería clínica IV;Normal;Obligatoria;96.00;96.00;100.00;50;48;50;1.21;04/09/2022
2020;Grado;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Enfermería clínica IV;Normal;Obligatoria;100.00;100.00;100.00;30;30;30;1.10;04/09/2022
2020;Grado;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Administración y gestión de enfermería;Normal;Obligatoria;100.00;100.00;100.00;164;164;164;1.00;04/09/2022
2020;Grado;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Administración y gestión de enfermería;Normal;Obligatoria;100.00;100.00;100.00;50;50;50;1.14;04/09/2022
