CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2020;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Hombres;0;12;2;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Abandono Voluntario;Mujeres;0;2;1;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;0;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Hombres;5;0;0;0;5.50;76.81;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Arquitectura Técnica;Grado;Graduado;Mujeres;8;0;0;0;6.50;74.43;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Hombres;0;8;4;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Civil;Grado;Graduado;Hombres;11;0;0;0;6.20;68.80;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Hombres;0;21;8;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Abandono Voluntario;Mujeres;0;2;2;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Hombres;8;0;0;0;6.25;77.23;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Graduado;Mujeres;8;0;0;0;5.67;81.63;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería de Organización Industrial;Grado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Abandono Voluntario;Hombres;0;8;1;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Abandono Voluntario;Mujeres;0;2;1;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;1;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Hombres;34;0;0;0;5.30;85.98;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Graduado;Mujeres;1;0;0;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Incumple Régimen de permanencia;Hombres;0;3;2;0;;;04/09/2022
2020;Almunia de Doña Godina (La);Grado: Ingeniería Mecatrónica;Grado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;04/09/2022
2020;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Hombres;0;15;7;0;;;04/09/2022
2020;Huesca;Grado: Administración y Dirección de Empresas;Grado;Abandono Voluntario;Mujeres;0;5;2;0;;;04/09/2022
2020;Huesca;Grado: Administración y Dirección de Empresas;Grado;Graduado;Hombres;14;0;0;0;5.77;73.94;04/09/2022
2020;Huesca;Grado: Administración y Dirección de Empresas;Grado;Graduado;Mujeres;17;0;0;0;5.36;77.86;04/09/2022
2020;Huesca;Grado: Administración y Dirección de Empresas;Grado;Incumple Régimen de permanencia;Hombres;0;2;2;0;;;04/09/2022
2020;Huesca;Grado: Administración y Dirección de Empresas;Grado;Incumple Régimen de permanencia;Mujeres;0;1;0;0;;;04/09/2022
2020;Huesca;Grado: Ciencias Ambientales;Grado;Abandono Voluntario;Hombres;0;11;3;0;;;04/09/2022
2020;Huesca;Grado: Ciencias Ambientales;Grado;Abandono Voluntario;Mujeres;0;5;2;0;;;04/09/2022
2020;Huesca;Grado: Ciencias Ambientales;Grado;Cambio de estudios sin simultaneidad;Hombres;0;2;2;0;;;04/09/2022
2020;Huesca;Grado: Ciencias Ambientales;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;04/09/2022
2020;Huesca;Grado: Ciencias Ambientales;Grado;Graduado;Hombres;24;0;0;0;6.83;71.59;04/09/2022
2020;Huesca;Grado: Ciencias Ambientales;Grado;Graduado;Mujeres;24;0;0;0;6.83;76.91;04/09/2022
2020;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Hombres;0;9;1;0;;;04/09/2022
2020;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Abandono Voluntario;Mujeres;0;1;0;0;;;04/09/2022
2020;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Hombres;44;0;0;0;4.51;93.61;04/09/2022
2020;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Mujeres;16;0;0;0;4.31;94.98;04/09/2022
2020;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;2;2;0;;;04/09/2022
2020;Huesca;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;2;2;0;;;04/09/2022
2020;Huesca;Grado: Enfermería;Grado;Graduado;Hombres;9;0;0;0;4.00;99.54;04/09/2022
2020;Huesca;Grado: Enfermería;Grado;Graduado;Mujeres;39;0;0;0;4.00;97.34;04/09/2022
2020;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Hombres;0;7;5;0;;;04/09/2022
2020;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Mujeres;0;13;10;0;;;04/09/2022
2020;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Hombres;8;0;0;0;4.75;84.75;04/09/2022
2020;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Mujeres;10;0;0;0;;72.46;04/09/2022
2020;Huesca;Grado: Gestión y Administración Pública;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;04/09/2022
2020;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Hombres;0;2;0;0;;;04/09/2022
2020;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Hombres;17;0;0;0;6.00;71.25;04/09/2022
2020;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Mujeres;11;0;0;0;5.33;68.90;04/09/2022
2020;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;04/09/2022
2020;Huesca;Grado: Magisterio en Educación Infantil;Grado;Abandono Voluntario;Hombres;0;2;2;0;;;04/09/2022
