CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;TIPO_CENTRO;TIPO_ESTUDIO;PLAZAS_OFERTADAS;PLAZAS_MATRICULADAS;PLAZAS_SOLICITADAS;INDICE_OCUPACION;FECHA_ACTUALIZACION
2021;Grado: Ciencias Ambientales;Huesca;Escuela Politécnica Superior;Facultad;Grado;54;37;337;68.52;30/10/2022
2021;Grado: Enfermería;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;176;176;3959;100.00;30/10/2022
2021;Grado: Enfermería;Huesca;Escuela Universitaria de Enfermería San Jorge de Huesca;Centro adscrito;Grado;59;59;3313;100.00;30/10/2022
2021;Grado: Enfermería;Teruel;Escuela Universitaria de Enfermería de Teruel;Centro adscrito;Grado;36;36;3051;100.00;30/10/2022
2021;Grado: Bellas Artes;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;55;50;311;90.91;30/10/2022
2021;Grado: Filosofía;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;59;397;98.33;30/10/2022
2021;Grado: Periodismo;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;60;59;667;98.33;30/10/2022
2021;Grado: Información y Documentación;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;36;14;108;38.89;30/10/2022
2021;Grado: Fisioterapia;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;60;60;1993;100.00;30/10/2022
2021;Grado: Terapia Ocupacional;Zaragoza;Facultad de Ciencias de la Salud;Facultad;Grado;80;80;757;100.00;30/10/2022
2021;Grado: Trabajo Social;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;158;1260;87.78;30/10/2022
2021;Grado: Ingeniero en Diseño Industrial y Desarrollo de Producto;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;75;75;591;100.00;30/10/2022
2021;Grado: Ciencia y Tecnología de los Alimentos;Zaragoza;Facultad de Veterinaria;Facultad;Grado;60;58;643;96.67;30/10/2022
2021;Grado: Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;62;62;1072;100.00;30/10/2022
2021;Grado: Geología;Zaragoza;Facultad de Ciencias;Facultad;Grado;50;32;179;64.00;30/10/2022
2021;Grado: Óptica y Optometría;Zaragoza;Facultad de Ciencias;Facultad;Grado;60;57;878;95.00;30/10/2022
2021;Grado: Magisterio en Educación Primaria;Zaragoza;Facultad de Educación;Facultad;Grado;240;238;1773;99.17;30/10/2022
2021;Grado: Magisterio en Educación Primaria;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;120;895;100.00;30/10/2022
2021;Grado: Magisterio en Educación Primaria;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;115;988;95.83;30/10/2022
2021;Grado: Magisterio en Educación Infantil;Zaragoza;Facultad de Educación;Facultad;Grado;120;120;1329;100.00;30/10/2022
2021;Grado: Magisterio en Educación Infantil;Huesca;Facultad de Ciencias Humanas y de la Educación;Facultad;Grado;120;118;738;98.33;30/10/2022
2021;Grado: Magisterio en Educación Infantil;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;120;114;848;95.00;30/10/2022
2021;Grado: Medicina;Zaragoza;Facultad de Medicina;Facultad;Grado;180;185;5998;102.78;30/10/2022
2021;Grado: Medicina;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;45;45;5297;100.00;30/10/2022
2021;Grado: Estudios Clásicos;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;30;20;161;66.67;30/10/2022
2021;Grado: Estudios Ingleses;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;100;98;498;98.00;30/10/2022
2021;Grado: Filología Hispánica;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;70;70;311;100.00;30/10/2022
2021;Grado: Historia;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;165;98;550;59.39;30/10/2022
2021;Grado: Historia del Arte;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;120;64;372;53.33;30/10/2022
2021;Grado: Física;Zaragoza;Facultad de Ciencias;Facultad;Grado;85;85;841;100.00;30/10/2022
2021;Grado: Biotecnología;Zaragoza;Facultad de Ciencias;Facultad;Grado;66;66;1347;100.00;30/10/2022
2021;Grado: Matemáticas;Zaragoza;Facultad de Ciencias;Facultad;Grado;70;70;991;100.00;30/10/2022
2021;Grado: Química;Zaragoza;Facultad de Ciencias;Facultad;Grado;150;135;1221;90.00;30/10/2022
2021;Grado: Nutrición Humana y Dietética;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;56;55;1041;98.21;30/10/2022
2021;Grado: Odontología;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;36;37;1666;102.78;30/10/2022
2021;Grado: Veterinaria;Zaragoza;Facultad de Veterinaria;Facultad;Grado;146;146;2078;100.00;30/10/2022
2021;Grado: Administración y Dirección de Empresas;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;400;392;1927;98.00;30/10/2022
2021;Grado: Administración y Dirección de Empresas;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;65;51;474;78.46;30/10/2022
2021;Grado: Administración y Dirección de Empresas;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;45;30;325;66.67;30/10/2022
2021;Grado: Derecho;Zaragoza;Facultad de Derecho;Facultad;Grado;308;305;1321;99.03;30/10/2022
2021;Grado: Economía;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;200;153;1231;76.50;30/10/2022
2021;Grado: Finanzas y Contabilidad;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;120;850;80.00;30/10/2022
2021;Grado: Geografía y Ordenación del Territorio;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;50;27;153;54.00;30/10/2022
2021;Grado: Gestión y Administración Pública;Huesca;Facultad de Empresa y Gestión Pública;Facultad;Grado;45;35;166;77.78;30/10/2022
2021;Grado: Marketing e Investigación de Mercados;Zaragoza;Facultad de Economía y Empresa;Facultad;Grado;150;147;1359;98.00;30/10/2022
2021;Grado: Relaciones Laborales y Recursos Humanos;Zaragoza;Facultad de Ciencias Sociales y del Trabajo;Facultad;Grado;180;163;966;90.56;30/10/2022
2021;Grado: Turismo;Zaragoza;Escuela Universitaria de Turismo de Zaragoza;Centro adscrito;Grado;80;28;523;35.00;30/10/2022
2021;Grado: Ingeniería Agroalimentaria y del Medio Rural;Huesca;Escuela Politécnica Superior;Facultad;Grado;45;49;218;108.89;30/10/2022
2021;Grado: Ingeniería Civil;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;30;11;187;36.67;30/10/2022
2021;Grado: Arquitectura Técnica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;45;31;208;68.89;30/10/2022
2021;Grado: Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;56;37;203;66.07;30/10/2022
2021;Grado: Ingeniería de Organización Industrial;Zaragoza;Centro Universitario de la Defensa de Zaragoza;Centro adscrito;Grado;300;293;0;97.67;30/10/2022
2021;Grado: Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;180;168;1565;93.33;30/10/2022
2021;Grado: Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;83;590;92.22;30/10/2022
2021;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;85;46;401;54.12;30/10/2022
2021;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;120;88;563;73.33;30/10/2022
2021;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;27;12;124;44.44;30/10/2022
2021;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;100;100;790;100.00;30/10/2022
2021;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;25;25;400;100.00;30/10/2022
2021;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;216;191;752;88.43;30/10/2022
2021;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;56;41;265;73.21;30/10/2022
2021;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;90;67;584;74.44;30/10/2022
2021;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;Facultad;Grado;55;46;280;83.64;30/10/2022
2021;Grado: Programa conjunto en Derecho-Administración y Dirección de Empresas;Zaragoza;Facultad de Derecho;Facultad;Grado;80;80;510;100.00;30/10/2022
2021;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;70;70;530;100.00;30/10/2022
2021;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;Facultad;Grado;10;10;295;100.00;30/10/2022
2021;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;Facultad;Grado;10;11;499;110.00;30/10/2022
2021;Grado: Programa conjunto en Matemáticas-Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;Facultad;Grado;10;10;258;100.00;30/10/2022
2021;Grado: Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;10;11;70;110.00;30/10/2022
2021;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;Facultad;Grado;85;81;1891;95.29;30/10/2022
2021;Grado: Ingeniería de Datos en Procesos Industriales;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;Centro adscrito;Grado;60;48;131;80.00;30/10/2022
2021;Grado: Ingeniería Informática-Administración y Dirección de Empresas;Teruel;Escuela Universitaria Politécnica de Teruel;Escuela Universitaria;Grado;10;10;128;100.00;30/10/2022
2021;Máster: Biología Molecular y Celular;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;18;89;60.00;30/10/2022
2021;Máster: Física y Tecnologías Físicas;Zaragoza;Facultad de Ciencias;Facultad;Máster;30;13;32;43.33;30/10/2022
2021;Máster: Gestión del Patrimonio Cultural;Zaragoza;Facultad de Filosofía y Letras;Facultad;Máster;35;22;73;62.86;30/10/2022
