CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2019;Grado: Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;10/01/2021
2019;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;10/01/2021
2019;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;10/01/2021
2019;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;5.000;10/01/2021
2019;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;;9.281;;10/01/2021
2019;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;5.000;10/01/2021
2019;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;10/01/2021
2019;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;10/01/2021
2019;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;10/01/2021
2019;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;10/01/2021
2019;Grado: Programa conjunto ADE/Derecho;Zaragoza;Facultad de Derecho;;11.892;;10/01/2021
2019;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;;7.076;;10/01/2021
2019;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;;13.586;;10/01/2021
2019;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;10.614;;10/01/2021
2019;Grado: Programa conjunto en Matemáticas-Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;;12.788;;10/01/2021
2019;Grado: Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;10/01/2021
