CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2020;Facultad de Ciencias;1-Física;Grado;361;83;85;84;0;0;0;88;1;15;20381.00;1021.00;4.79;89.73;80.37;85.59;;;04/09/2022
2020;Facultad de Ciencias;1-Biotecnología;Grado;287;66;66;68;0;0;0;74;1;11;16881.00;364.00;4.18;93.85;87.81;95.69;;;04/09/2022
2020;Facultad de Ciencias;1-Matemáticas;Grado;299;69;67;38;0;0;0;57;6;5;16942.00;437.00;4.97;88.58;80.59;84.47;;;04/09/2022
2020;Facultad de Ciencias;1-Química;Grado;592;139;150;70;0;0;0;87;2;18;33862.00;564.00;5.08;73.40;62.32;81.17;;;04/09/2022
2020;Facultad de Ciencias de la Salud y del Deporte;1-Nutrición Humana y Dietética;Grado;240;56;56;54;1;0;0;64;3;1;13328.00;459.00;4.69;95.24;90.01;89.02;;;04/09/2022
2020;Facultad de Ciencias de la Salud y del Deporte;1-Odontología;Grado;172;35;36;33;0;0;0;70;;0;10039.00;873.00;5.19;97.68;95.72;93.76;;;04/09/2022
2020;Facultad de Veterinaria;1-Veterinaria;Grado;755;146;146;138;0;0;0;112;16;16;44824.00;865.50;5.27;89.96;86.12;92.94;;;04/09/2022
2020;Facultad de Economía y Empresa;1-Administración y Dirección de Empresas;Grado;1591;385;400;303;10;0;3;343;94;55;90489.00;6853.50;5.27;79.14;68.66;88.72;;;04/09/2022
2020;Facultad de Empresa y Gestión Pública;1-Administración y Dirección de Empresas;Grado;173;51;65;31;8;0;3;30;9;4;8928.00;360.50;5.58;79.52;63.94;75.96;;;04/09/2022
2020;Facultad de Ciencias Sociales y Humanas de Teruel;1-Administración y Dirección de Empresas;Grado;143;32;45;30;0;0;0;39;7;1;6697.00;183.50;6.39;80.23;68.68;83.91;;;04/09/2022
2020;Facultad de Derecho;1-Derecho;Grado;1362;306;308;289;0;0;0;319;25;40;79473.00;4193.00;5.15;84.61;77.46;89.09;;;04/09/2022
2020;Facultad de Economía y Empresa;1-Economía;Grado;709;178;200;116;0;0;0;125;32;15;40140.00;943.50;5.45;79.70;66.18;80.43;;;04/09/2022
2020;Facultad de Economía y Empresa;1-Finanzas y Contabilidad;Grado;488;132;150;59;0;0;0;81;4;5;26673.00;2281.50;5.41;74.99;58.45;78.32;;;04/09/2022
2020;Facultad de Filosofía y Letras;1-Geografía y Ordenación del Territorio;Grado;121;30;50;33;0;0;0;26;13;2;6753.00;50.50;4.94;94.32;89.78;92.27;;;04/09/2022
2020;Facultad de Empresa y Gestión Pública;1-Gestión y Administración Pública;Grado;108;38;40;18;13;0;7;28;1;0;4827.00;848.00;4.75;81.75;52.96;80.37;;;04/09/2022
2020;Facultad de Economía y Empresa;1-Marketing e Investigación de Mercados;Grado;608;148;150;91;0;0;0;115;31;19;35044.00;1962.00;5.01;83.18;71.35;83.49;;;04/09/2022
2020;Facultad de Ciencias Sociales y del Trabajo;1-Relaciones Laborales y Recursos Humanos;Grado;735;174;180;104;10;0;1;144;8;14;40039.50;2247.50;5.67;80.93;72.64;84.15;;;04/09/2022
2020;Escuela Universitaria de Turismo de Zaragoza;1-Turismo;Grado;235;39;80;39;0;0;0;89;3;10;11930.00;3119.00;5.12;88.34;76.37;87.45;;;04/09/2022
2020;Escuela Politécnica Superior;1-Ingeniería Agroalimentaria y del Medio Rural;Grado;191;45;45;28;1;0;0;49;2;10;9767.00;2119.00;5.78;76.35;59.57;70.49;;;04/09/2022
2020;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería Civil;Grado;68;16;54;11;1;0;0;24;3;0;2856.00;1029.00;6.20;85.07;58.65;68.80;;;04/09/2022
2020;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Arquitectura Técnica;Grado;76;15;54;13;3;3;3;24;2;0;2858.00;1615.50;6.17;80.97;51.89;75.33;;;04/09/2022
2020;Escuela Universitaria Politécnica de la Almunia de Doña Godina;1-Ingeniería de Organización Industrial;Grado;160;42;56;16;0;0;0;61;7;4;6384.00;2309.00;6.00;88.54;63.42;79.37;;;04/09/2022
