CURSO_ACADEMICO;LOCALIDAD;ESTUDIO;TIPO_ESTUDIO;TIPO_EGRESO;SEXO;ALUMNOS_GRADUADOS;ALUMNOS_INTERRUMPEN_ESTUDIOS;ALUMNOS_INTERRUMPEN_EST_ANO1;ALUMNOS_TRASLADAN_OTRA_UNIV;DURACION_MEDIA_GRADUADOS;TASA_EFICIENCIA;FECHA_ACTUALIZACION
2019;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Graduado;Mujeres;13;0;0;0;4.08;98.07;12/09/2021
2019;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Incumple Régimen de permanencia;Hombres;0;1;1;0;;;12/09/2021
2019;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Traslado a otra Universidad;Hombres;0;0;0;1;;;12/09/2021
2019;Huesca;Grado: Ciencias de la Actividad Física y del Deporte;Grado;Traslado a otra Universidad;Mujeres;0;0;0;1;;;12/09/2021
2019;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Hombres;0;2;1;0;;;12/09/2021
2019;Huesca;Grado: Enfermería;Grado;Abandono Voluntario;Mujeres;0;4;1;0;;;12/09/2021
2019;Huesca;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Hombres;0;1;0;0;;;12/09/2021
2019;Huesca;Grado: Enfermería;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;3;2;0;;;12/09/2021
2019;Huesca;Grado: Enfermería;Grado;Graduado;Hombres;8;0;0;0;4.00;99.28;12/09/2021
2019;Huesca;Grado: Enfermería;Grado;Graduado;Mujeres;37;0;0;0;4.07;97.79;12/09/2021
2019;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Hombres;0;3;2;0;;;12/09/2021
2019;Huesca;Grado: Gestión y Administración Pública;Grado;Abandono Voluntario;Mujeres;0;6;3;0;;;12/09/2021
2019;Huesca;Grado: Gestión y Administración Pública;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;12/09/2021
2019;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Hombres;5;0;0;0;6.67;69.03;12/09/2021
2019;Huesca;Grado: Gestión y Administración Pública;Grado;Graduado;Mujeres;18;0;0;0;5.00;84.56;12/09/2021
2019;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Hombres;0;19;5;0;;;12/09/2021
2019;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Abandono Voluntario;Mujeres;0;1;1;0;;;12/09/2021
2019;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Cambio de estudios sin simultaneidad;Mujeres;0;1;1;0;;;12/09/2021
2019;Huesca;Grado: Ingeniería Agroalimentaria y del Medio Rural;Grado;Graduado;Hombres;20;0;0;0;5.79;74.50;12/09/2021
