CURSO_ACADEMICO;CENTRO;ESTUDIO;TIPO_ESTUDIO;ALUMNOS_MATRICULADOS;ALUMNOS_NUEVO_INGRESO;PLAZAS_OFERTADAS;ALUMNOS_GRADUADOS;ALUMNOS_ADAPTA_GRADO_MATRI;ALUMNOS_ADAPTA_GRADO_MATRI_NI;ALUMNOS_ADAPTA_GRADO_TITULADO;ALUMNOS_CON_RECONOCIMIENTO;ALUMNOS_MOVILIDAD_ENTRADA;ALUMNOS_MOVILIDAD_SALIDA;CREDITOS_MATRICULADOS;CREDITOS_RECONOCIDOS;DURACION_MEDIA_GRADUADOS;TASA_EXITO;TASA_RENDIMIENTO;TASA_EFICIENCIA;TASA_ABANDONO;TASA_GRADUACION;FECHA_ACTUALIZACION
2019;Escuela Politécnica Superior;1-Ciencias Ambientales;Grado;190;36;54;21;0;0;0;27;7;16;9812.00;366.50;6.44;85.01;73.71;81.67;;;12/09/2021
2019;Facultad de Ciencias de la Salud;1-Enfermería;Grado;623;159;160;141;0;0;0;178;15;13;36134.00;1907.50;4.15;99.24;97.91;95.57;;;12/09/2021
2019;Escuela Universitaria de Enfermería San Jorge de Huesca;1-Enfermería;Grado;200;54;54;45;0;0;0;53;1;5;12158.00;612.00;4.06;97.38;97.03;98.06;;;12/09/2021
2019;Escuela Universitaria de Enfermería de Teruel;1-Enfermería;Grado;135;33;33;33;0;0;0;33;;0;7816.00;367.00;4.00;99.23;98.32;98.75;;;12/09/2021
2019;Facultad de Ciencias Sociales y Humanas de Teruel;1-Bellas Artes;Grado;164;32;55;30;0;0;0;6;19;8;9280.00;47.00;4.50;98.64;95.19;92.98;;;12/09/2021
2019;Facultad de Ciencias Sociales y Humanas de Teruel;1-Psicología;Grado;356;84;85;72;0;0;0;14;18;28;21012.00;296.50;4.59;95.70;93.96;89.87;;;12/09/2021
2019;Facultad de Filosofía y Letras;1-Filosofía;Grado;204;56;60;16;0;0;0;9;38;7;10449.50;90.50;5.15;93.41;75.09;86.90;;;12/09/2021
2019;Facultad de Filosofía y Letras;1-Periodismo;Grado;264;60;60;64;0;0;0;43;50;20;14319.00;588.00;4.49;98.28;94.19;95.95;;;12/09/2021
2019;Facultad de Filosofía y Letras;1-Información y Documentación;Grado;64;13;36;17;0;0;0;6;16;0;3225.00;262.00;5.20;91.89;84.37;88.34;;;12/09/2021
2019;Facultad de Ciencias de la Salud;1-Fisioterapia;Grado;240;59;60;62;0;0;0;36;1;6;13766.00;704.00;4.22;98.79;98.05;94.79;;;12/09/2021
2019;Facultad de Ciencias de la Salud;1-Terapia Ocupacional;Grado;304;77;80;78;0;0;0;4;7;9;17653.00;146.00;4.33;99.10;96.44;93.38;;;12/09/2021
2019;Facultad de Ciencias Sociales y del Trabajo;1-Trabajo Social;Grado;739;180;180;155;10;4;8;56;27;26;42509.50;1345.50;4.50;96.03;91.21;91.15;;;12/09/2021
2019;Escuela de Ingeniería y Arquitectura;1-Ingeniero en Diseño Industrial y Desarrollo de Producto;Grado;340;76;75;63;0;0;0;69;25;32;19571.00;705.50;4.57;90.74;84.81;89.34;;;12/09/2021
2019;Facultad de Veterinaria;1-Ciencia y Tecnología de los Alimentos;Grado;267;60;60;43;0;0;0;55;9;11;15511.00;777.00;4.58;92.37;89.83;92.20;;;12/09/2021
2019;Facultad de Ciencias de la Salud y del Deporte;1-Ciencias de la Actividad Física y del Deporte;Grado;298;62;62;68;0;0;0;26;5;9;16383.00;574.50;4.52;95.98;92.14;92.77;;;12/09/2021
2019;Facultad de Ciencias;1-Geología;Grado;143;34;50;24;0;0;0;7;9;5;8140.00;239.50;5.14;89.74;78.93;78.90;;;12/09/2021
2019;Facultad de Ciencias;1-Óptica y Optometría;Grado;232;53;60;55;0;0;0;8;3;1;12918.00;135.50;4.69;92.16;87.66;89.19;;;12/09/2021
2019;Facultad de Educación;1-Magisterio en Educación Primaria;Grado;1157;239;240;284;53;33;30;94;14;38;62590.00;8751.50;4.46;95.78;92.09;92.72;;;12/09/2021
2019;Facultad de Ciencias Humanas y de la Educación;1-Magisterio en Educación Primaria;Grado;547;119;120;105;0;0;0;37;;13;31244.50;1463.00;4.76;94.93;91.00;86.86;;;12/09/2021
2019;Facultad de Ciencias Sociales y Humanas de Teruel;1-Magisterio en Educación Primaria;Grado;415;95;120;86;0;0;0;25;11;3;23686.00;1263.50;4.73;93.07;88.63;84.53;;;12/09/2021
2019;Facultad de Educación;1-Magisterio en Educación Infantil;Grado;484;120;120;116;0;0;0;28;8;23;27388.00;1188.00;4.30;96.63;93.56;95.89;;;12/09/2021
